asset,regime_label,window,mean_return,median_return,hit_rate,count
AUDUSD,Equity-Led Systemic Stress,30,1.75,2.88,80.0,5
AUDUSD,Equity-Led Systemic Stress,60,2.48,2.87,60.0,5
AUDUSD,Equity-Led Systemic Stress,90,2.76,-0.35,40.0,5
AUDUSD,Oil-Led Systemic Stress,30,-2.66,-0.7,22.22,9
AUDUSD,Oil-Led Systemic Stress,60,-3.24,-2.38,33.33,9
AUDUSD,Oil-Led Systemic Stress,90,-3.26,-1.76,33.33,9
Brent,Equity-Led Systemic Stress,30,15.71,7.54,80.0,5
Brent,Equity-Led Systemic Stress,60,12.63,5.12,100.0,5
Brent,Equity-Led Systemic Stress,90,13.86,8.73,100.0,5
Brent,Oil-Led Systemic Stress,30,-8.73,-0.31,44.44,9
Brent,Oil-Led Systemic Stress,60,-5.52,5.99,55.56,9
Brent,Oil-Led Systemic Stress,90,2.76,-2.1,44.44,9
DXY,Equity-Led Systemic Stress,30,1.0,1.49,60.0,5
DXY,Equity-Led Systemic Stress,60,0.75,-0.33,40.0,5
DXY,Equity-Led Systemic Stress,90,1.74,4.91,60.0,5
DXY,Oil-Led Systemic Stress,30,2.4,2.23,66.67,9
DXY,Oil-Led Systemic Stress,60,3.55,4.57,66.67,9
DXY,Oil-Led Systemic Stress,90,4.61,3.97,77.78,9
EUROSTOXX,Equity-Led Systemic Stress,30,-4.33,-6.92,20.0,5
EUROSTOXX,Equity-Led Systemic Stress,60,0.0,2.68,60.0,5
EUROSTOXX,Equity-Led Systemic Stress,90,-2.29,-5.15,40.0,5
EUROSTOXX,Oil-Led Systemic Stress,30,-0.93,1.74,66.67,9
EUROSTOXX,Oil-Led Systemic Stress,60,1.11,-0.37,44.44,9
EUROSTOXX,Oil-Led Systemic Stress,90,1.38,-3.93,44.44,9
FTSE,Equity-Led Systemic Stress,30,-1.09,-2.32,20.0,5
FTSE,Equity-Led Systemic Stress,60,3.96,4.37,80.0,5
FTSE,Equity-Led Systemic Stress,90,3.94,4.15,80.0,5
FTSE,Oil-Led Systemic Stress,30,-0.05,3.29,77.78,9
FTSE,Oil-Led Systemic Stress,60,1.39,3.71,77.78,9
FTSE,Oil-Led Systemic Stress,90,1.78,5.13,66.67,9
Gold,Equity-Led Systemic Stress,30,5.8,6.14,100.0,5
Gold,Equity-Led Systemic Stress,60,5.26,5.46,100.0,5
Gold,Equity-Led Systemic Stress,90,5.32,3.24,80.0,5
Gold,Oil-Led Systemic Stress,30,2.13,1.88,77.78,9
Gold,Oil-Led Systemic Stress,60,1.43,-0.95,44.44,9
Gold,Oil-Led Systemic Stress,90,2.37,1.61,66.67,9
HYG,Equity-Led Systemic Stress,30,0.79,0.63,60.0,5
HYG,Equity-Led Systemic Stress,60,1.63,5.31,60.0,5
HYG,Equity-Led Systemic Stress,90,1.12,2.55,60.0,5
HYG,Oil-Led Systemic Stress,30,-1.42,-0.26,44.44,9
HYG,Oil-Led Systemic Stress,60,-1.71,-0.94,44.44,9
HYG,Oil-Led Systemic Stress,90,0.47,0.78,55.56,9
NIKKEI,Equity-Led Systemic Stress,30,-2.76,-8.36,40.0,5
NIKKEI,Equity-Led Systemic Stress,60,-0.45,-2.86,20.0,5
NIKKEI,Equity-Led Systemic Stress,90,0.37,-4.63,20.0,5
NIKKEI,Oil-Led Systemic Stress,30,-4.67,-1.9,33.33,9
NIKKEI,Oil-Led Systemic Stress,60,-1.31,-0.36,44.44,9
NIKKEI,Oil-Led Systemic Stress,90,0.19,0.9,55.56,9
SPX,Equity-Led Systemic Stress,30,2.43,0.75,60.0,5
SPX,Equity-Led Systemic Stress,60,4.54,1.12,60.0,5
SPX,Equity-Led Systemic Stress,90,2.24,2.86,60.0,5
SPX,Oil-Led Systemic Stress,30,-0.94,1.79,66.67,9
SPX,Oil-Led Systemic Stress,60,-0.83,3.23,55.56,9
SPX,Oil-Led Systemic Stress,90,0.18,4.19,66.67,9
TLT,Equity-Led Systemic Stress,30,-1.1,-2.04,40.0,5
TLT,Equity-Led Systemic Stress,60,-5.77,-5.18,40.0,5
TLT,Equity-Led Systemic Stress,90,-3.31,-4.57,40.0,5
TLT,Oil-Led Systemic Stress,30,0.26,0.38,55.56,9
TLT,Oil-Led Systemic Stress,60,2.1,2.5,77.78,9
TLT,Oil-Led Systemic Stress,90,1.41,5.15,66.67,9
USDBRL,Equity-Led Systemic Stress,30,-1.73,-4.56,40.0,5
USDBRL,Equity-Led Systemic Stress,60,-2.9,-4.2,20.0,5
USDBRL,Equity-Led Systemic Stress,90,-3.4,-3.84,20.0,5
USDBRL,Oil-Led Systemic Stress,30,3.11,2.11,55.56,9
USDBRL,Oil-Led Systemic Stress,60,8.26,11.3,55.56,9
USDBRL,Oil-Led Systemic Stress,90,6.39,10.4,77.78,9
USDCAD,Equity-Led Systemic Stress,30,0.1,-0.9,40.0,5
USDCAD,Equity-Led Systemic Stress,60,0.06,0.43,60.0,5
USDCAD,Equity-Led Systemic Stress,90,0.36,1.3,60.0,5
