date,sentiment,source,decision,rate_bp
2008-01-30,-0.2474,fomc,-1,50
2008-03-11,0.223,fomc,0,0
2008-03-18,-0.7223,fomc,-1,75
2008-04-30,-0.2597,fomc,-1,25
2008-06-25,0.8038,fomc,0,0
2008-08-05,0.8906,fomc,0,0
2008-09-16,-0.1238,fomc,0,0
2008-10-08,-0.0767,fomc,-1,50
2008-10-29,-0.9038,fomc,-1,50
2009-01-28,0.0577,fomc,0,0
2009-03-18,0.5152,fomc,0,0
2009-04-29,0.4089,fomc,0,0
2009-06-24,0.4658,fomc,0,0
2009-08-12,0.5136,fomc,0,0
2009-09-23,0.4115,fomc,0,0
2009-11-04,0.3646,fomc,0,0
2009-12-16,0.166,fomc,0,0
2010-01-27,0.0627,fomc,0,0
2010-03-16,-0.0768,fomc,0,0
2010-04-28,-0.8776,fomc,0,0
2010-05-09,0.0748,fomc,0,0
2010-06-23,-0.3814,fomc,0,0
2010-08-10,-0.0079,fomc,0,0
2010-09-21,-0.3158,fomc,0,0
2010-11-03,0.2875,fomc,0,0
2010-12-14,0.3942,fomc,0,0
2011-01-26,0.0383,fomc,0,0
2011-03-15,0.4464,fomc,0,0
2011-04-27,0.5318,fomc,0,0
2011-06-22,0.1673,fomc,0,0
2011-08-09,0.0869,fomc,0,0
2011-09-21,0.1804,fomc,0,0
2011-11-02,0.3744,fomc,0,0
2011-12-13,0.4889,fomc,0,0
2012-01-25,0.3024,fomc,0,0
2012-03-13,0.651,fomc,0,0
2012-04-25,0.7668,fomc,0,0
2012-06-20,0.3931,fomc,0,0
2012-08-01,-0.028,fomc,0,0
2012-09-13,0.334,fomc,0,0
2012-10-24,0.2739,fomc,0,0
2012-12-12,0.211,fomc,0,0
2013-01-30,0.1822,fomc,0,0
2013-03-20,0.1723,fomc,0,0
2013-05-01,0.2471,fomc,0,0
2013-06-19,0.2772,fomc,0,0
2013-07-31,0.1723,fomc,0,0
2013-09-18,0.405,fomc,0,0
2013-10-30,0.266,fomc,0,0
2013-12-18,0.365,fomc,0,0
2014-01-29,0.251,fomc,0,0
2014-03-19,0.2398,fomc,0,0
2014-04-30,0.2135,fomc,0,0
2014-06-18,0.3023,fomc,0,0
2014-07-30,0.3525,fomc,0,0
2014-09-17,0.3155,fomc,0,0
2014-10-29,0.3563,fomc,0,0
2014-12-17,0.1385,fomc,0,0
2015-01-28,0.2422,fomc,0,0
2015-03-18,0.3732,fomc,0,0
2015-04-29,0.2339,fomc,0,0
2015-06-17,0.2516,fomc,0,0
2015-07-29,0.3161,fomc,0,0
2015-09-17,0.2404,fomc,0,0
2015-10-28,0.2113,fomc,0,0
2015-12-16,0.1729,fomc,1,25
2016-01-27,0.1342,fomc,0,0
2016-03-16,0.2108,fomc,0,0
2016-04-27,0.2222,fomc,0,0
2016-06-15,0.1686,fomc,0,0
2016-07-27,0.1603,fomc,0,0
2016-09-21,0.2114,fomc,0,0
2016-11-02,0.2783,fomc,0,0
2016-12-14,0.23,fomc,1,25
2017-02-01,0.3168,fomc,0,0
2017-03-15,0.3189,fomc,1,25
2017-05-03,0.2024,fomc,0,0
2017-06-14,0.1196,fomc,1,25
2017-07-26,0.1177,fomc,0,0
2017-09-20,0.0047,fomc,0,0
2017-11-01,-0.084,fomc,0,0
2017-12-13,-0.0258,fomc,1,25
2018-01-31,0.2374,fomc,0,0
2018-03-21,0.3285,fomc,1,25
2018-05-02,0.2194,fomc,0,0
2018-06-13,0.2695,fomc,1,25
2018-08-01,0.3398,fomc,0,0
2018-09-26,0.4199,fomc,1,25
2018-11-08,0.3458,fomc,0,0
2018-12-19,0.2929,fomc,1,25
2019-01-30,0.2295,fomc,0,0
2019-03-20,-0.8428,fomc,0,0
2019-05-01,-0.735,fomc,0,0
2019-06-19,-0.5715,fomc,0,0
2019-07-31,-0.6797,fomc,-1,25
2019-09-18,-0.1199,fomc,-1,25
2019-10-11,0.0378,fomc,0,0
2019-10-30,-0.0573,fomc,-1,25
2019-12-11,-0.0252,fomc,0,0
2020-01-29,0.0009,fomc,0,0
2020-03-03,-0.296,fomc,-1,50
2020-03-15,0.3075,fomc,-1,100
2020-03-23,0.0458,fomc,0,0
2020-03-31,0.1544,fomc,0,0
2020-04-29,-0.4587,fomc,0,0
2020-06-10,0.7343,fomc,0,0
2020-07-29,0.5934,fomc,0,0
2020-08-27,0.055,fomc,0,0
2020-09-16,0.5262,fomc,0,0
2020-11-05,0.2422,fomc,0,0
2020-12-16,0.1515,fomc,0,0
2021-01-27,0.2188,fomc,0,0
2021-03-17,0.1873,fomc,0,0
2021-04-28,0.3147,fomc,0,0
2021-06-16,0.3304,fomc,0,0
2021-07-28,0.3105,fomc,0,0
2021-09-22,0.368,fomc,0,0
2021-11-03,0.5748,fomc,0,0
2021-12-15,0.273,fomc,0,0
2022-01-26,0.305,fomc,0,0
2022-03-16,-0.0808,fomc,1,25
2022-05-04,-0.2552,fomc,1,50
2022-06-15,-0.1411,fomc,1,75
2022-07-27,0.0348,fomc,1,75
2022-09-21,0.0377,fomc,1,75
2022-11-02,0.0658,fomc,1,75
2022-12-14,0.0627,fomc,1,50
2023-02-01,0.0964,fomc,1,25
2023-03-22,0.1247,fomc,1,25
2023-05-03,0.0479,fomc,1,25
2023-06-14,0.0489,fomc,0,0
2023-07-26,0.0868,fomc,1,25
2023-09-20,0.0486,fomc,0,0
2023-11-01,0.0567,fomc,0,0
2023-12-13,-0.0076,fomc,0,0
2024-01-31,-0.0012,fomc,0,0
2024-03-20,0.0172,fomc,0,0
2024-05-01,-0.0836,fomc,0,0
2024-06-12,0.0528,fomc,0,0
2024-07-31,0.0746,fomc,0,0
2024-09-18,0.0458,fomc,-1,50
2024-11-07,0.0358,fomc,-1,25
2024-12-18,-0.0332,fomc,-1,25
2025-01-29,0.0083,fomc,0,0
2025-03-19,0.0143,fomc,0,0
2025-05-07,0.087,fomc,0,0
2025-06-18,0.073,fomc,0,0
2025-07-30,0.0394,fomc,0,0
2025-08-22,0.1442,fomc,0,0
2025-09-17,-0.1653,fomc,-1,25
2025-10-29,0.1185,fomc,-1,25
2025-12-10,0.1541,fomc,-1,25
2026-01-28,0.0834,fomc,0,0
2026-03-18,0.0805,fomc,0,0
